cl_dbc_tarief_agb_code|cl_productgroep_code|cl_declaratiecode|cl_declaratiecode_kleur|cl_dbc_tarief_basis|cl_dbc_tarief_max|cl_dbc_nhc_tarief|cl_dbc_tarief_begindatum|cl_dbc_tarief_einddatum|cl_dbc_tarief_mutatie
0329|143034|100188|groen|7760800|0|0|20090101|20091231|
0329|143035|100189|groen|7787700|0|0|20090101|20091231|
0329|143036|100190|groen|7942200|0|0|20090101|20091231|
0329|143036|100190|groen|7755800|0|0|20100101|20101231|
0329|143036|100190|groen|7888893|0|0|20110101|20111231|
0329|143037|100191|groen|8015200|0|0|20090101|20091231|
0329|143037|100191|groen|7827100|0|0|20100101|20101231|
0329|143037|100191|groen|7961416|0|0|20110101|20111231|
0329|143038|100192|groen|8194800|0|0|20090101|20091231|
0329|143038|100192|groen|8002500|0|0|20100101|20101231|
0329|143038|100192|groen|8139826|0|0|20110101|20111231|
0329|143040|100193|groen|7664400|0|0|20090101|20091231|
0329|143040|100193|groen|7484500|0|0|20100101|20101231|
0329|143040|100193|groen|7612937|0|0|20110101|20111231|
0329|143041|100194|groen|7778000|0|0|20090101|20091231|
0329|143041|100194|groen|7595500|0|0|20100101|20101231|
0329|143041|100194|groen|7725842|0|0|20110101|20111231|
0329|143042|100195|groen|7962400|0|0|20090101|20091231|
0329|143042|100195|groen|7775500|0|0|20100101|20101231|
0329|143042|100195|groen|7908931|0|0|20110101|20111231|
0329|143044|100196|groen|7653300|0|0|20090101|20091231|
0329|143044|100196|groen|7473700|0|0|20100101|20101231|
